model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
gpt2,93,comp.os.ms-windows.misc,11,9,128,32,0.20569721305126096,0.0667300038581133,0.06544563159283417,0.06389500598252332,32.0,0.2574547268803561,0.0770790220812137,32.0,-0.3690333705394761,0.1973312990917082,0.07361690936724849,32.0,0.059649337801103944,0.08917974427569016,0.06505733833197604,32.0,0.8307747232790297,0.09208842142669448,0.06518225989414261,32.0,0.8100357261086734,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,10,128,8,1.0873040820773097,0.43250424697222756,0.4501416255387937,0.41066683362290524,8.0,1.0796232323503434,0.4742426506087821,8.0,0.012054774489843085,1.0796232323503434,0.46866822836416044,8.0,0.012054774489843085,0.6331005878668846,0.4311769963668939,8.0,0.7128535109836134,0.5933904853499469,0.41946118734386795,8.0,0.7751768668396207,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,10,128,16,0.5839711763584096,0.2765592002687898,0.27671798740133824,0.2635924928953036,16.0,0.5321445119672861,0.28237381127244615,16.0,0.16867738482077915,1.0739389767267284,0.28937322693706674,16.0,-1.5946711636466562,0.3366258431549431,0.2723628635428015,16.0,0.8050212075684102,0.4090918785373282,0.2710230529218966,16.0,0.5691700008539702,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,10,128,32,0.2684031719581928,0.13741198828919884,0.13080784590204536,0.12695142929925451,32.0,0.2299537625666871,0.13121244564578705,32.0,0.2794383391759685,0.4090918785373282,0.13712903554864084,32.0,-1.0224817267537538,0.16014337480671811,0.12906358831378587,32.0,0.7867985072930309,0.16014337480671811,0.12914924421078222,32.0,0.7867985072930309,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,11,128,8,0.9128291152558129,0.25073432636294646,0.263098367285682,0.22343091080297783,8.0,1.3221075009027763,0.26444020554445224,8.0,-0.629919989050262,2.966305430562694,0.2861120064262179,8.0,-3.160503518915012,0.7639288916304546,0.23010493235280843,8.0,0.229172198007479,0.7639288916304546,0.22742163549807573,8.0,0.229172198007479,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,11,128,16,0.6786805739016064,0.14889701430863708,0.12406629559752967,0.11006130826310359,16.0,0.843515653628665,0.1567936183179583,16.0,-0.2972067005398749,0.843515653628665,0.15621061358049285,16.0,-0.2972067005398749,0.4274685312458373,0.12996508806027512,16.0,0.45294910802501526,0.476323677894641,0.13074736391718983,16.0,0.36486059577431185,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,11,128,32,0.40378531817052443,0.0766969002339544,0.055798318578806703,0.050802442342069334,32.0,0.48557111774468725,0.06816227221881835,32.0,-0.2350254454049132,0.7639288916304546,0.07733533262714877,32.0,-1.0349339885756519,0.21036556410175303,0.060155678553014624,32.0,0.5558246552190305,0.2025653129691257,0.05980755651929235,32.0,0.5782400073493661,False,True,True
gpt2,96,talk.politics.misc,0,0,128,8,1.106440715626175,0.5908887807787033,0.6193736583729214,0.5678947998516528,8.0,1.2039416414958832,0.6210649636122498,8.0,-0.2001796763253728,0.9199899453044323,0.589214651187882,8.0,0.3828030813112381,0.9709176718607617,0.581022180934138,8.0,0.2782430914742552,0.8567857895027958,0.5848895195315731,8.0,0.5125678741881522,False,True,True
gpt2,96,talk.politics.misc,0,0,128,16,0.779924547531241,0.38249917908359965,0.3815749825451042,0.36129039482238917,16.0,0.8672529029977516,0.41118498644626567,16.0,-0.2192254319884843,0.6266584537419497,0.37222598017221364,16.0,0.38475275803206954,0.5736753244385797,0.37754983319457447,16.0,0.5177593782481953,0.5709556560867901,0.37303266850341976,16.0,0.5245867193346209,False,True,True
gpt2,96,talk.politics.misc,0,0,128,32,0.34694361440960403,0.20283899530144076,0.20247221136441812,0.19346122557313722,32.0,0.379749847601652,0.2232521333196242,32.0,-0.2270776949662989,0.3179122976105744,0.20080242364871403,32.0,0.20094853505333238,0.27247347892450446,0.20401043210913183,32.0,0.5154662716316789,0.28164592461954907,0.2005558967752213,32.0,0.45197657400497443,False,False,True
